sheet,col,n,mean,median,min,max,std
хлорофиллметр,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
хлорофиллметр,3,30,36.79666666666667,35.7,15.7,66.0,10.997408280539961
хлорофиллметр,4,30,40.00666666666667,38.5,16.7,79.9,12.182362478417541
хлорофиллметр,5,30,36.96666666666667,36.85,15.2,64.5,11.950295207883174
хлорофиллметр,6,30,39.083333333333336,39.150000000000006,17.9,71.9,11.997752104271681
хлорофиллметр,11,25,20.968,18.7,6.3,47.3,10.560178786365313
хлорофиллметр,12,25,23.216,22.2,10.2,57.1,11.34987858965901
хлорофиллметр,13,25,21.512,19.8,8.1,44.8,9.776147298399303
хлорофиллметр,14,25,22.644000000000002,19.0,9.9,48.7,11.05564398847937
хлорофиллметр,15,25,22.8,24.0,9.7,40.7,9.309693872518043
хлорофиллметр,16,18,24.194444444444443,26.55,8.6,46.3,9.464464076053835
хлорофиллметр,17,11,26.8,28.7,12.2,37.6,8.436285266093668
хлорофиллметр,7,25,40.856,41.6,25.9,63.9,7.458529613804587
хлорофиллметр,8,25,44.188,43.1,24.9,73.4,10.54139725083919
пит р-р+ээ,3,13,3.1553846153846155,3.0,1.0,6.0,1.8323277141578702
пит р-р+ээ,4,106,4.637075471698113,2.975,1.0,15.0,3.063434983799134
пит р-р+ээ,6,102,8.241666666666667,3.0,1.6,390.0,38.082636388268156
пит р-р+ээ,7,102,4.676666666666667,3.13,0.5,24.1,3.2887247463897524
пит р-р+ээ,8,85,4.3328235294117645,2.7,1.0,10.1,2.661971234106611
пит р-р+ээ,5,104,4.702788461538462,2.9299999999999997,0.5,26.0,3.5350439168011785
пит р-р+ээ,9,83,4.275542168674699,2.9,1.5,10.0,2.6286765431874137
пит р-р+ээ,10,96,4.488411458333333,3.3508333333333336,1.4666666666666668,9.25,2.5830461508107523
пит р-р+ээ,11,96,0.35888525137220667,0.30530236588546394,0.007149203529842358,1.4325821675096568,0.3348248884406105
пит р-р+ээ,12,96,8.025743379267313,5.030286016298348,0.31727234599892123,29.764507822672392,7.9170654289117675
пит р-р+ээ,13,96,19.174856531604384,11.191424046904286,0.7001166861143571,72.90785661062569,19.081663372664842
пит р-р+ээ,2,59,13.864406779661017,4.0,2.0,608.0,78.02117435912449
пит р-р+ээ,16,5,21.526,21.8,2.13,41.0,12.30466188076698
фенология,2,5,3.0,3.0,1.0,5.0,1.4142135623730951
фенология,4,5,150.32,150.8,79.0,245.5,60.27614453496508
фенология,7,5,246.76,221.0,97.0,478.0,140.83284560073335
фенология,8,5,235.9,235.7,235.0,237.2,0.7823042886243141
фенология,9,5,1.0972,1.02,0.514,2.053,0.5724765148021358
фенология,10,5,92.6,96.0,77.0,100.0,8.2365041127896
биометрия,22,56,19.930357142857144,21.5,1.0,43.0,8.99686293824641
биометрия,23,56,21.46785714285714,21.0,1.0,50.0,10.214906949140156
биометрия,24,56,20.553571428571427,21.0,1.0,44.0,9.132965491748525
биометрия,31,46,15.673913043478262,15.0,0.0,41.0,8.164222979684213
биометрия,32,52,16.384615384615383,17.0,3.0,46.0,6.833609942927018
биометрия,33,53,17.169811320754718,16.0,0.0,63.0,9.044410030211413
биометрия,34,43,14.69767441860465,14.0,0.0,27.0,6.571732572942681
биометрия,35,28,13.928571428571429,14.5,0.0,27.0,6.3071873481685925
биометрия,40,46,60.66195652173913,43.209999999999994,0.0,170.15,43.345322881912416
биометрия,41,52,61.323653846153846,49.615,3.0,154.76,37.53908030454325
биометрия,42,54,67.21592592592593,64.83500000000001,0.0,177.71,41.3887400825894
биометрия,43,43,66.07441860465116,54.25,0.0,199.43,50.184045194701476
биометрия,44,28,53.753571428571426,56.045,0.0,123.03,33.05387444485633
биометрия,49,45,22.148666666666667,16.6,0.3,99.35,21.50385615031251
биометрия,50,51,20.977254901960784,15.1,1.05,81.34,18.94564372075672
биометрия,51,54,20.41722222222222,12.535,0.3,92.77,21.985457939339565
