target,target_kind,horizon_min,model,n_train,n_test,mae,rmse,r2
th-1_temperature,temperature,10,last_value,38782,16621,0.069545,0.149473,0.988823
th-1_temperature,temperature,10,moving_mean_30m,38782,16621,0.123578,0.268654,0.963893
th-1_temperature,temperature,10,ridge_regression,38782,16621,0.073871,0.126617,0.991980
th-1_temperature,temperature,30,last_value,38758,16611,0.147974,0.331167,0.945166
th-1_temperature,temperature,30,moving_mean_30m,38758,16611,0.201736,0.430803,0.907208
th-1_temperature,temperature,30,ridge_regression,38758,16611,0.156318,0.273204,0.962681
th-1_humidity,humidity,10,last_value,38782,16621,0.140064,0.399898,0.989627
th-1_humidity,humidity,10,moving_mean_30m,38782,16621,0.266063,0.542019,0.980944
th-1_humidity,humidity,10,ridge_regression,38782,16621,0.199248,0.362976,0.991454
th-1_humidity,humidity,30,last_value,38758,16611,0.315454,0.674269,0.970510
th-1_humidity,humidity,30,moving_mean_30m,38758,16611,0.429603,0.794153,0.959091
th-1_humidity,humidity,30,ridge_regression,38758,16611,0.387348,0.633007,0.974009
co2-1_co2,co2,10,last_value,38726,16597,5.272097,9.297500,0.966662
co2-1_co2,co2,10,moving_mean_30m,38726,16597,6.521261,11.319457,0.950586
co2-1_co2,co2,10,ridge_regression,38726,16597,5.482347,9.467492,0.965432
co2-1_co2,co2,30,last_value,38601,16544,8.116598,14.102946,0.923535
co2-1_co2,co2,30,moving_mean_30m,38601,16544,9.200705,16.184285,0.899299
co2-1_co2,co2,30,ridge_regression,38601,16544,8.396209,14.486446,0.919319
