cultivar,single_emergence,mass_emergence
цезарь,,2026-03-05 00:00:00
хризолит,,2026-03-06 00:00:00
везувий,,2026-03-06 00:00:00
риф,,2026-03-06 00:00:00
порфира,,2026-03-06 00:00:00
импульс,,2026-03-06 00:00:00
джипси,,2026-03-06 00:00:00
родео,,2026-03-06 00:00:00
филигрань,,2026-03-06 00:00:00
рафаэль,,2026-03-06 00:00:00
афицион,,2026-03-06 00:00:00
мидори,,2026-03-05 00:00:00
каскад,,2026-03-05 00:00:00
триплекс,2026-03-06 00:00:00,плохие всходы
бохо,2026-03-06 00:00:00,2026-03-07 00:00:00
пилигрим,2026-03-06 00:00:00,плохие всходы
нефрит,,2026-03-06 00:00:00
аланис,,2026-03-06 00:00:00
барлах,,2026-03-06 00:00:00
фрезер,,2026-03-06 00:00:00
конверин,,2026-03-06 00:00:00
старфайтер,2026-03-06 00:00:00,плохие всходы
юкатан,,2026-03-06 00:00:00
бахус,2026-03-06 00:00:00,2026-03-08 00:00:00
форт,,2026-03-06 00:00:00
борей,2026-03-06 00:00:00,2026-03-08 00:00:00
