date,reference_temp,reference_values,device,device_daily_mean,device_daily_median,device_daytime_mean_10_16,abs_diff_daily_mean,abs_diff_daytime_mean,device_rows_day,reference_note
2026-04-06,24.1,24.1,th-1,25.106254343293955,25.4,26.28214285714286,1.0062543432939535,2.182142857142857,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-06,24.1,24.1,th-2,25.579499652536484,25.9,26.65904761904762,1.4794996525364823,2.559047619047618,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-06,24.1,24.1,co2-1,25.34464285714286,25.2,,1.244642857142857,,280,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-17,21.9625,21.8; 21.7; 21.5; 21.4; 22.2; 22.1; 22.5; 22.5,th-1,24.68450312717165,25.0,25.861428571428572,2.72200312717165,3.8989285714285735,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-17,21.9625,21.8; 21.7; 21.5; 21.4; 22.2; 22.1; 22.5; 22.5,th-2,28.840236275191106,29.5,29.615238095238094,6.877736275191108,7.652738095238096,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-17,21.9625,21.8; 21.7; 21.5; 21.4; 22.2; 22.1; 22.5; 22.5,co2-1,24.952953439888812,25.8,25.892380952380954,2.990453439888814,3.9298809523809553,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-17,22.3,22.2; 22.2; 22.5,th-1,24.68450312717165,25.0,25.861428571428572,2.384503127171648,3.5614285714285714,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-17,22.3,22.2; 22.2; 22.5,th-2,28.840236275191106,29.5,29.615238095238094,6.540236275191106,7.315238095238094,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-17,22.3,22.2; 22.2; 22.5,co2-1,24.952953439888812,25.8,25.892380952380954,2.6529534398888117,3.592380952380953,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-18,20.625,20.5; 20.6; 20.7; 20.7,th-1,24.098749131341208,24.7,24.730714285714285,3.473749131341208,4.105714285714285,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-18,20.625,20.5; 20.6; 20.7; 20.7,th-2,28.593398193189714,29.6,29.045952380952382,7.968398193189714,8.420952380952382,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
2026-04-18,20.625,20.5; 20.6; 20.7; 20.7,co2-1,24.62911744266852,25.6,25.463333333333335,4.0041174426685195,4.838333333333335,1439,"Ручная температура раствора имеет дату без времени, поэтому сравнение приблизительное."
