relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
14,2026-03-28 16:22:35,th-1,temperature,31.4,31.485714285714284,30.887878787878787,0.08571428571428541,-0.5121212121212118,11,28,33
14,2026-03-28 16:22:35,th-1,humidity,17.181818181818183,17.0,19.666666666666668,-0.18181818181818343,2.4848484848484844,11,28,33
14,2026-03-28 16:22:35,th-2,temperature,32.554545454545455,32.61071428571429,31.8,0.05616883116883287,-0.754545454545454,11,28,32
14,2026-03-28 16:22:35,th-2,humidity,17.0,17.0,18.09375,0.0,1.09375,11,28,32
14,2026-03-28 16:22:35,co2-1,temperature,28.330000000000002,28.15,28.96969696969697,-0.18000000000000327,0.639696969696967,10,28,33
14,2026-03-28 16:22:35,co2-1,humidity,29.91,29.067857142857143,30.06969696969697,-0.8421428571428571,0.15969696969697011,10,28,33
14,2026-03-28 16:22:35,co2-1,co2,747.0,468.07142857142856,414.27272727272725,-278.92857142857144,-332.72727272727275,10,28,33
12,2026-03-28 16:22:35,th-1,temperature,31.4,31.485714285714284,30.887878787878787,0.08571428571428541,-0.5121212121212118,11,28,33
12,2026-03-28 16:22:35,th-1,humidity,17.181818181818183,17.0,19.666666666666668,-0.18181818181818343,2.4848484848484844,11,28,33
12,2026-03-28 16:22:35,th-2,temperature,32.554545454545455,32.61071428571429,31.8,0.05616883116883287,-0.754545454545454,11,28,32
12,2026-03-28 16:22:35,th-2,humidity,17.0,17.0,18.09375,0.0,1.09375,11,28,32
12,2026-03-28 16:22:35,co2-1,temperature,28.330000000000002,28.15,28.96969696969697,-0.18000000000000327,0.639696969696967,10,28,33
12,2026-03-28 16:22:35,co2-1,humidity,29.91,29.067857142857143,30.06969696969697,-0.8421428571428571,0.15969696969697011,10,28,33
12,2026-03-28 16:22:35,co2-1,co2,747.0,468.07142857142856,414.27272727272725,-278.92857142857144,-332.72727272727275,10,28,33
14,2026-03-28 16:54:22,th-1,temperature,31.485185185185184,30.975862068965515,29.833333333333332,-0.5093231162196687,-1.651851851851852,27,29,3
