relay_id,name,profile_mentions,events,on_events,off_events,paired_on_intervals,total_on_min_observed,median_on_min,max_on_min,first_ts,last_ts
1,,,4,2,2,2,424.53333333333336,212.26666666666668,396.1,2026-03-31 11:46:03,2026-04-01 16:22:19
2,2-й УЗ увлаж,,18,9,9,9,2961.9166666666665,137.53333333333333,1107.5333333333333,2026-03-31 11:45:53,2026-04-09 09:38:41
3,1-й УЗ увлаж,,6,3,3,3,1332.6166666666668,2.95,1329.6333333333334,2026-03-31 11:45:49,2026-04-11 12:36:17
4,,,2,1,1,1,0.03333333333333333,0.03333333333333333,0.03333333333333333,2026-03-31 11:45:37,2026-03-31 11:45:39
5,,,2,1,1,1,0.016666666666666666,0.016666666666666666,0.016666666666666666,2026-04-21 10:26:30,2026-04-21 10:26:31
6,,,2,1,1,1,0.03333333333333333,0.03333333333333333,0.03333333333333333,2026-04-21 10:26:27,2026-04-21 10:26:29
8,,Приток с улицы (Бокс 2) / main,43,22,21,21,39556.75,49.766666666666666,11883.683333333332,2026-03-28 17:01:56,2026-05-25 11:30:07
9,,Приток с улицы (Бокс 2) / pre,37,19,18,18,38273.86666666667,45.56666666666666,11884.033333333333,2026-03-28 17:10:35,2026-05-25 11:29:57
10,,Приток с улицы (Бокс 1) / main; Рециркуляция (Бокс 1) / main; Обогрев (Бокс 1) / main,4,2,2,2,1.9,0.95,1.65,2026-03-28 16:54:32,2026-03-31 16:42:44
11,,Приток с улицы (Бокс 2) / pre,33,17,16,16,39513.26666666667,262.325,11884.016666666666,2026-03-28 17:10:35,2026-05-25 11:29:57
12,,Приток с улицы (Бокс 1) / pre,4,2,2,2,1.9833333333333334,0.9916666666666667,1.9833333333333334,2026-03-28 16:22:35,2026-03-28 16:56:21
14,,Приток с улицы (Бокс 1) / pre; Рециркуляция (Бокс 1) / pre; Обогрев (Бокс 1) / pre,8,4,4,4,4.45,1.15,1.9833333333333334,2026-03-28 16:22:35,2026-03-31 16:42:56
15,,Обогрев (Бокс 1) / main,2,1,1,1,0.45,0.45,0.45,2026-03-31 16:42:29,2026-03-31 16:42:56
