date,device,metric,n,mean,min,max,median
2026-03-28,co2-1,co2,71,482.3521126760563,402.0,1846.0,417.0
2026-03-28,co2-1,humidity,71,29.652112676056337,27.0,68.2,27.8
2026-03-28,co2-1,temperature,71,28.556338028169016,27.9,29.8,28.2
2026-03-28,th-1,humidity,72,18.25,17.0,24.0,17.0
2026-03-28,th-1,temperature,72,31.19861111111111,29.7,32.4,31.5
2026-03-28,th-2,humidity,71,17.492957746478872,16.0,22.0,17.0
2026-03-28,th-2,temperature,71,32.23661971830986,30.2,33.4,32.6
2026-03-31,co2-1,co2,739,508.4614343707713,360.0,722.0,465.0
2026-03-31,co2-1,humidity,739,37.766711772665765,32.2,55.2,36.8
2026-03-31,co2-1,temperature,739,27.906224627875506,26.9,32.1,27.3
2026-03-31,th-1,humidity,748,31.084224598930483,24.0,46.0,31.0
2026-03-31,th-1,temperature,748,28.565508021390375,26.5,34.1,27.2
2026-03-31,th-2,humidity,749,31.548731642189587,22.0,49.0,32.0
2026-03-31,th-2,temperature,749,28.996662216288385,26.7,34.6,27.5
2026-04-01,co2-1,co2,1439,394.7018763029882,303.0,603.0,381.0
2026-04-01,co2-1,humidity,1439,36.7496872828353,33.7,39.1,36.8
2026-04-01,co2-1,temperature,1439,26.354690757470465,24.8,27.9,26.6
2026-04-01,th-1,humidity,1439,30.416956219596944,28.0,32.0,31.0
2026-04-01,th-1,temperature,1439,26.07630298818624,24.4,28.7,26.2
2026-04-01,th-2,humidity,1439,31.029186935371786,29.0,33.0,32.0
2026-04-01,th-2,temperature,1439,26.36150104239055,24.7,29.3,26.4
2026-04-02,co2-1,co2,489,325.5725971370143,306.0,360.0,326.0
2026-04-02,co2-1,humidity,490,35.3169387755102,34.0,36.6,35.4
2026-04-02,co2-1,temperature,490,23.975714285714286,22.1,26.3,23.3
2026-04-02,th-1,humidity,1439,29.08061153578874,26.0,33.0,29.0
2026-04-02,th-1,temperature,1439,24.92835302293259,21.7,26.9,25.8
2026-04-02,th-2,humidity,1439,29.76094510076442,26.0,34.0,30.0
2026-04-02,th-2,temperature,1439,25.213829047949964,22.0,27.4,26.0
2026-04-03,co2-1,co2,32,321.0,309.0,337.0,320.5
2026-04-03,co2-1,humidity,33,31.63030303030303,30.1,34.0,30.7
2026-04-03,co2-1,temperature,33,26.542424242424243,25.6,27.6,26.2
2026-04-03,th-1,humidity,1440,30.98611111111111,24.0,34.0,33.0
2026-04-03,th-1,temperature,1440,25.405555555555555,22.0,27.1,26.3
2026-04-03,th-2,humidity,1440,31.514583333333334,24.0,35.0,34.0
2026-04-03,th-2,temperature,1440,25.769930555555554,22.3,27.5,26.7
2026-04-04,th-1,humidity,1439,33.34676858929812,30.0,37.0,34.0
2026-04-04,th-1,temperature,1439,25.72842251563586,22.8,27.1,26.4
2026-04-04,th-2,humidity,1439,34.27380125086866,30.0,38.0,35.0
2026-04-04,th-2,temperature,1439,26.223071577484365,23.3,27.5,26.9
2026-04-05,th-1,humidity,1439,33.3002084781098,28.0,37.0,34.0
2026-04-05,th-1,temperature,1439,25.433009034051423,22.9,27.0,25.8
2026-04-05,th-2,humidity,1439,33.73314801945796,29.0,38.0,34.0
2026-04-05,th-2,temperature,1439,25.953648366921474,23.3,27.5,26.4
2026-04-06,co2-1,co2,280,362.69642857142856,313.0,544.0,362.5
2026-04-06,co2-1,humidity,280,38.370357142857145,37.4,46.5,37.8
2026-04-06,co2-1,temperature,280,25.34464285714286,24.9,26.4,25.2
2026-04-06,th-1,humidity,1439,33.60597637248089,31.0,37.0,34.0
2026-04-06,th-1,temperature,1439,25.106254343293955,22.3,27.6,25.4
2026-04-06,th-2,humidity,1439,33.779708130646284,32.0,38.0,34.0
2026-04-06,th-2,temperature,1439,25.579499652536484,22.7,28.1,25.9
2026-04-07,co2-1,co2,1262,340.0499207606973,303.0,392.0,341.0
2026-04-07,co2-1,humidity,1262,38.543343898573696,35.3,43.0,37.7
2026-04-07,co2-1,temperature,1262,23.57242472266244,21.4,25.2,23.7
2026-04-07,th-1,humidity,1439,32.168867268936765,28.0,35.0,33.0
2026-04-07,th-1,temperature,1439,24.174774148714384,21.9,25.4,24.6
2026-04-07,th-2,humidity,1439,32.38498957609451,29.0,36.0,33.0
2026-04-07,th-2,temperature,1439,24.29909659485754,21.6,26.0,24.7
2026-04-08,co2-1,co2,1338,338.6562032884903,305.0,688.0,336.0
2026-04-08,co2-1,humidity,1338,33.76532137518684,28.6,44.3,33.9
2026-04-08,co2-1,temperature,1338,21.61965620328849,19.8,23.8,21.7
2026-04-08,th-1,humidity,1439,27.32661570535094,20.0,31.0,28.0
2026-04-08,th-1,temperature,1439,22.4043085476025,20.3,24.6,22.6
2026-04-08,th-2,humidity,1439,26.5045170257123,19.0,31.0,27.0
2026-04-08,th-2,temperature,1439,22.549895760945102,20.0,24.8,22.8
2026-04-09,co2-1,co2,616,328.05357142857144,301.0,349.0,328.0
2026-04-09,co2-1,humidity,619,32.10193861066236,28.7,54.8,30.7
2026-04-09,co2-1,temperature,619,20.146365105008076,18.7,21.8,19.9
2026-04-09,th-1,humidity,1439,27.77901320361362,20.0,38.0,28.0
2026-04-09,th-1,temperature,1439,22.042738012508686,18.9,26.4,22.6
2026-04-09,th-2,humidity,1439,26.007644197359276,20.0,38.0,24.0
2026-04-09,th-2,temperature,1439,23.63884642112578,19.1,29.4,23.0
2026-04-10,th-1,humidity,1439,23.77901320361362,20.0,28.0,23.0
2026-04-10,th-1,temperature,1439,21.956150104239054,19.2,23.6,22.5
2026-04-10,th-2,humidity,1439,19.35302293259208,18.0,24.0,19.0
2026-04-10,th-2,temperature,1439,26.732244614315498,23.8,28.5,27.3
2026-04-11,th-1,humidity,1439,23.44266851980542,19.0,26.0,24.0
2026-04-11,th-1,temperature,1439,22.437039610840863,19.8,23.9,22.9
2026-04-11,th-2,humidity,1439,19.19944405837387,18.0,22.0,19.0
2026-04-11,th-2,temperature,1439,27.11737317581654,24.3,28.7,27.8
2026-04-12,th-1,humidity,1439,28.059068797776234,24.0,31.0,29.0
2026-04-12,th-1,temperature,1439,23.132870048644893,20.5,24.5,23.6
2026-04-12,th-2,humidity,1439,23.236970118137595,19.0,27.0,24.0
2026-04-12,th-2,temperature,1439,27.709103544127867,24.9,29.2,28.3
2026-04-13,th-1,humidity,1439,32.00555941626129,27.0,34.0,33.0
2026-04-13,th-1,temperature,1439,23.66580958999305,21.1,25.1,24.3
2026-04-13,th-2,humidity,1439,27.560111188325227,23.0,31.0,29.0
2026-04-13,th-2,temperature,1439,28.098123697011815,25.5,29.6,28.6
2026-04-14,th-1,humidity,1439,32.14315496872828,30.0,34.0,32.0
2026-04-14,th-1,temperature,1439,23.710979847116054,21.2,25.0,24.4
2026-04-14,th-2,humidity,1439,27.55316191799861,24.0,31.0,28.0
2026-04-14,th-2,temperature,1439,28.112995135510772,25.4,29.5,28.5
2026-04-15,co2-1,co2,653,401.6477794793262,339.0,838.0,404.0
2026-04-15,co2-1,humidity,654,41.47048929663609,38.6,57.0,41.6
2026-04-15,co2-1,temperature,654,24.95336391437309,24.7,26.5,24.9
2026-04-15,th-1,humidity,1439,30.74913134120917,24.0,35.0,32.0
2026-04-15,th-1,temperature,1439,23.707644197359276,21.2,25.1,24.4
2026-04-15,th-2,humidity,1439,26.193189715079917,22.0,31.0,27.0
2026-04-15,th-2,temperature,1439,28.199513551077136,25.5,29.6,28.9
2026-04-16,co2-1,co2,1440,371.6326388888889,330.0,557.0,359.0
2026-04-16,co2-1,humidity,1440,43.29680555555556,40.1,47.4,43.5
2026-04-16,co2-1,temperature,1440,24.784791666666667,21.1,27.8,25.1
2026-04-16,th-1,humidity,1440,33.94444444444444,32.0,36.0,34.0
2026-04-16,th-1,temperature,1440,24.205416666666668,21.4,26.2,24.7
2026-04-16,th-2,humidity,1440,29.68611111111111,26.0,33.0,30.0
2026-04-16,th-2,temperature,1440,28.5825,25.6,30.1,29.4
2026-04-17,co2-1,co2,1439,350.78596247394023,303.0,594.0,338.0
2026-04-17,co2-1,humidity,1439,39.895343988881166,34.6,48.7,39.9
2026-04-17,co2-1,temperature,1439,24.952953439888812,21.4,27.1,25.8
2026-04-17,th-1,humidity,1439,30.568450312717165,27.0,36.0,30.0
2026-04-17,th-1,temperature,1439,24.68450312717165,21.6,27.3,25.0
2026-04-17,th-2,humidity,1439,26.276580958999304,21.0,33.0,27.0
2026-04-17,th-2,temperature,1439,28.840236275191106,25.8,31.0,29.5
2026-04-18,co2-1,co2,1439,338.95760945100767,307.0,502.0,336.0
2026-04-18,co2-1,humidity,1439,33.684364141765116,28.2,41.2,35.3
2026-04-18,co2-1,temperature,1439,24.62911744266852,20.9,26.7,25.6
2026-04-18,th-1,humidity,1439,25.638637943015983,20.0,31.0,27.0
2026-04-18,th-1,temperature,1439,24.098749131341208,20.8,27.1,24.7
2026-04-18,th-2,humidity,1439,20.050034746351635,15.0,28.0,22.0
2026-04-18,th-2,temperature,1439,28.593398193189714,25.1,31.3,29.6
2026-04-19,co2-1,co2,1439,335.6928422515636,313.0,357.0,336.0
2026-04-19,co2-1,humidity,1439,27.236692147324533,23.2,33.1,27.2
