device,metric,hour,n,mean,median,p05,p95
co2-1,co2,0,2159,342.1764705882353,337.0,308.0,393.0
co2-1,co2,1,2164,338.6617375231054,336.0,307.0,386.0
co2-1,co2,2,2203,335.41761234679984,333.0,311.0,374.0
co2-1,co2,3,2213,335.2480795300497,334.0,312.0,368.0
co2-1,co2,4,2134,335.29896907216494,334.0,312.0,367.0
co2-1,co2,5,2075,334.98698795180724,334.0,309.0,367.0
co2-1,co2,6,2023,334.3717251606525,334.0,306.0,372.0
co2-1,co2,7,2014,333.9572989076465,331.0,308.0,364.0
co2-1,co2,8,1964,331.4775967413442,330.0,308.0,357.0
co2-1,co2,9,2035,330.84373464373465,329.0,309.0,358.29999999999995
co2-1,co2,10,2160,337.27129629629627,333.0,309.0,387.0
co2-1,co2,11,2164,349.68761552680223,336.0,305.15000000000003,438.0
co2-1,co2,12,2217,369.80920162381597,338.0,309.0,594.0
co2-1,co2,13,2241,381.3288710397144,345.0,309.0,646.0
co2-1,co2,14,2158,387.76876737720113,354.0,311.85,623.3000000000002
co2-1,co2,15,2141,398.2120504437179,358.0,311.0,582.0
co2-1,co2,16,2181,391.8968363136176,358.0,312.0,558.0
co2-1,co2,17,2181,380.8074277854195,362.0,313.0,490.0
co2-1,co2,18,2240,374.65758928571427,355.5,310.0,489.0499999999997
co2-1,co2,19,2252,368.79529307282417,350.0,308.0,471.0
co2-1,co2,20,2263,360.61953159522756,343.0,308.0,457.9000000000001
co2-1,co2,21,2243,354.11190370040123,341.0,308.0,426.0
co2-1,co2,22,2191,348.5600182565039,338.0,309.0,403.0
co2-1,co2,23,2157,345.29995363931386,338.0,310.0,392.0
co2-1,humidity,0,2224,36.500539568345324,36.4,28.115000000000002,45.0
co2-1,humidity,1,2228,36.364946140035904,36.2,28.1,44.86500000000001
co2-1,humidity,2,2252,36.22952930728241,36.0,27.9,44.7
co2-1,humidity,3,2270,37.29180616740088,37.0,29.1,45.8
co2-1,humidity,4,2187,39.2228166438043,39.0,30.4,47.7
co2-1,humidity,5,2120,39.61061320754717,39.5,30.8,46.6
co2-1,humidity,6,2070,39.786038647343,40.5,30.1,46.6
co2-1,humidity,7,2070,40.228743961352656,41.8,29.4,48.2
co2-1,humidity,8,2017,40.09737233515121,40.4,29.300000000000004,48.61999999999998
co2-1,humidity,9,2069,38.47752537457709,38.1,29.1,47.75999999999999
co2-1,humidity,10,2194,37.57274384685506,36.7,27.699999999999996,47.43499999999999
co2-1,humidity,11,2180,37.60775229357798,36.95,28.1,46.9
co2-1,humidity,12,2218,37.256717763751126,37.6,27.2,47.1
co2-1,humidity,13,2245,36.91563474387528,38.1,25.9,46.8
co2-1,humidity,14,2176,36.89209558823529,38.0,25.2,47.3
co2-1,humidity,15,2165,36.64415704387991,36.5,25.3,47.0
co2-1,humidity,16,2182,36.288955087076076,36.4,27.605,46.3
co2-1,humidity,17,2182,36.44660861594867,36.4,28.2,46.1
co2-1,humidity,18,2241,36.33034359660866,36.6,28.0,45.9
co2-1,humidity,19,2261,36.10212295444494,36.5,28.0,45.9
co2-1,humidity,20,2283,36.23245729303548,36.7,28.3,45.6
co2-1,humidity,21,2270,36.41581497797357,36.7,28.4,45.6
co2-1,humidity,22,2235,36.498568232662194,36.8,28.3,45.5
co2-1,humidity,23,2224,36.4396582733813,36.5,28.2,45.2
co2-1,temperature,0,2224,25.5380845323741,26.1,21.2,28.2
co2-1,temperature,1,2228,25.49210053859964,26.1,20.9,28.199999999999996
co2-1,temperature,2,2252,25.487877442273536,26.5,20.8,28.2
co2-1,temperature,3,2270,24.18361233480176,24.9,19.645,27.4
co2-1,temperature,4,2187,23.15546410608139,23.9,18.9,26.199999999999996
co2-1,temperature,5,2120,22.877028301886792,24.1,18.6,26.0
co2-1,temperature,6,2070,22.735458937198068,24.1,18.4,25.9
co2-1,temperature,7,2070,22.683091787439615,23.9,18.3,25.9
co2-1,temperature,8,2017,22.644620723847297,23.6,18.3,25.8
co2-1,temperature,9,2069,24.057902368293863,24.9,19.5,27.199999999999996
co2-1,temperature,10,2194,25.161030082041933,26.2,20.8,27.9
co2-1,temperature,11,2180,25.486834862385322,26.3,21.1,28.0
co2-1,temperature,12,2218,25.5787646528404,26.3,21.0,28.1
co2-1,temperature,13,2245,25.724276169265032,26.6,21.1,28.4
co2-1,temperature,14,2176,25.77049632352941,26.6,21.4,28.625000000000004
co2-1,temperature,15,2165,25.86147806004619,26.6,21.5,28.699999999999996
co2-1,temperature,16,2182,26.00967002749771,26.7,21.9,29.0
co2-1,temperature,17,2182,26.034280476626947,26.7,22.0,28.8
co2-1,temperature,18,2241,25.9334672021419,26.7,21.9,28.7
