t_min,t_mean,t_max,rh_mean,vpd_mean,date
29.7,31.713986013986016,33.4,17.874125874125873,3.850607214621643,2026-03-28
26.5,28.7812291249165,34.6,31.316633266533067,2.7326957719253717,2026-03-31
24.4,26.218902015288396,29.3,30.723071577484365,2.3625387227281767,2026-04-01
21.7,25.07109103544128,27.4,29.420778318276582,2.2500674248050734,2026-04-02
22.0,25.587743055555556,27.5,31.25034722222222,2.2559243436489385,2026-04-03
22.8,25.97574704656011,27.5,33.81028492008339,2.223363680561298,2026-04-04
22.9,25.693328700486447,27.5,33.516678248783876,2.195047160602012,2026-04-05
22.3,25.34287699791522,28.1,33.69284225156358,2.147762570404992,2026-04-06
21.6,24.23693537178596,26.0,32.27692842251564,2.0501957609525476,2026-04-07
20.0,22.4771021542738,24.8,26.915566365531618,1.989079959852616,2026-04-08
18.9,22.840792216817235,29.4,26.89332870048645,2.052942502805502,2026-04-09
19.2,24.344197359277278,28.5,21.56601806810285,2.427303595510255,2026-04-10
19.8,24.7772063933287,28.7,21.321056289089647,2.494936219982685,2026-04-11
20.5,25.42098679638638,29.2,25.648019457956913,2.4467285917098165,2026-04-12
21.1,25.881966643502434,29.6,29.782835302293257,2.3752100138018846,2026-04-13
21.2,25.91198749131341,29.5,29.848158443363445,2.379786867422191,2026-04-14
21.2,25.953578874218206,29.6,28.471160528144544,2.427552067149078,2026-04-15
21.4,26.393958333333334,30.1,31.815277777777776,2.382082559893316,2026-04-16
21.6,26.762369701181377,31.0,28.422515635858236,2.555090057744718,2026-04-17
20.8,26.34607366226546,31.3,22.844336344683807,2.7022807213146907,2026-04-18
20.0,26.494440583738708,30.8,16.483669214732455,2.954653923411214,2026-04-19
19.7,25.38273106323836,31.6,18.5752990851513,2.652110364063964,2026-04-20
19.1,23.529916608756082,27.5,19.38950660180681,2.3645643913510406,2026-04-21
20.3,24.093882516510256,27.5,21.202294056308656,2.3846397406220894,2026-04-22
17.9,22.266052814454483,27.5,19.833564975677554,2.174220035960306,2026-04-23
19.3,23.020291869353716,26.2,20.979499652536482,2.2415259416922497,2026-04-24
19.6,23.311431549687285,26.1,24.57123002084781,2.172129881228691,2026-04-25
19.5,22.687526059763723,26.1,27.401320361362057,2.0182255071664303,2026-04-26
18.5,23.91660875608061,28.4,28.64593467685893,2.11887496739587,2026-04-27
23.3,25.452675469075746,26.6,20.453092425295345,2.5907558365216863,2026-04-28
21.8,24.951944444444447,27.1,28.32326388888889,2.267307635199139,2026-04-29
24.0,25.518693537178596,26.9,34.02640722724114,2.1543513657547706,2026-04-30
21.8,25.28947185545518,27.4,41.28492008339124,1.8972237592054129,2026-05-01
22.3,25.961605281445447,28.1,41.59207783182766,1.9698114100208746,2026-05-02
23.0,26.672654621264765,28.8,41.0406532314107,2.073044533134894,2026-05-03
23.5,27.07970813064628,28.9,40.4277275886032,2.1442176427863298,2026-05-04
24.0,27.417268936761637,28.9,38.47359277275886,2.2602181269762034,2026-05-05
24.3,27.66626129256428,29.1,30.72515635858235,2.578954754808776,2026-05-06
24.4,27.831897150799165,29.4,23.768241834607366,2.8629393023103185,2026-05-07
24.5,27.84899235580264,29.4,25.757817929117444,2.790405909397292,2026-05-08
24.6,27.98860319666435,29.5,25.05767894371091,2.8448826470882165,2026-05-09
24.7,28.304308547602503,29.8,21.762682418346074,3.0234391678363104,2026-05-10
24.9,28.489124391938844,30.1,23.338776928422515,2.994619705574525,2026-05-11
25.2,28.89173611111111,30.9,26.271527777777777,2.9489033625969814,2026-05-12
25.7,29.44471855455177,33.1,28.90340514246004,2.941386694399146,2026-05-13
26.5,29.793363446838082,31.8,27.830090340514246,3.041776066946803,2026-05-14
26.5,29.561223071577484,31.5,24.06601806810285,3.1551474020503854,2026-05-15
26.1,29.2502084781098,31.1,26.13307852675469,3.0155403756191657,2026-05-16
25.9,29.140722724113967,31.1,28.1501042390549,2.9145027643256265,2026-05-17
25.9,29.178457261987493,31.4,28.69457956914524,2.899415539272738,2026-05-18
25.0,29.21862404447533,32.3,27.957956914523976,2.9405335157021937,2026-05-19
25.6,29.680993745656703,34.9,31.51737317581654,2.8860437393546365,2026-05-20
26.8,30.21772063933287,32.9,31.010423905489922,2.986841191799656,2026-05-21
26.3,29.425573314801948,32.7,32.72897845726199,2.785797390959441,2026-05-22
26.5,28.919423210562893,30.8,31.546212647671993,2.74233495225239,2026-05-23
26.4,28.766458333333333,30.5,29.12534722222222,2.814092584628602,2026-05-24
25.2,28.143293954134815,30.9,23.232105628908965,2.9550858301264538,2026-05-25
23.7,27.093350668647847,30.3,20.465081723625556,2.890787260756996,2026-05-26
