cultivar,variant,spad_mean,spad_n,diam_cm,diam_cm_n,diam_cm_sd,height_cm,height_cm_n,height_cm_sd,leaf_mass_mkt_g,leaf_mass_mkt_g_n,leaf_mass_mkt_g_sd,leaf_mass_non_g,leaf_mass_non_g_n,leaf_mass_non_g_sd,leaves_n,leaves_n_n,leaves_n_sd,root_len_cm,root_len_cm_n,root_len_cm_sd,root_mass_g,root_mass_g_n,root_mass_g_sd,stem_mass_g,stem_mass_g_n,stem_mass_g_sd,carotenoid,carotenoid_stored,chl_a,chl_b,chl_sum,chl_sum_stored,nitrate,nitrate_stored,sugar,sugar_stored,vit_c,assim_area_m2,dm_pct,rel_turgor_pct,water_deficit_pct,mobile_water_pct,water_hold_pct,loss_pct,mass_after_g,mass_before_g,name,recipe,ppfd,power_w,dli,mkt_per_w_g
Джипси,1,36.23333333333333,6.0,25.5,6.0,6.058052492344384,23.166666666666668,6.0,2.316606713852541,40.534,5.0,16.987831821630447,17.96,5.0,5.172716887671314,12.0,5.0,4.636809247747852,18.833333333333332,6.0,4.708148963941844,1.834,5.0,1.1545042225994673,1.9080000000000001,5.0,0.7305614279442899,64.88054999999999,103.361485,2.7604799999999994,1.1187800000000003,96.9815,148.04125,5.54,6.15,3.0,4.1,1.5,0.0236,7.6164941287455425,84.83128098512711,15.168719014872885,,33.608938547486005,4.033850493653048,16.39,17.725,контроль,контроль,79.0,116.3,5.1192,0.3485296646603611
Джипси,2,37.01666666666667,6.0,32.833333333333336,6.0,3.3714487489307423,20.333333333333332,6.0,0.816496580927726,62.720000000000006,5.0,23.236113057049796,43.14,5.0,17.57716985182768,18.4,5.0,4.219004621945797,28.666666666666668,6.0,11.604596790352808,9.802000000000001,5.0,2.5775802606320526,4.854,5.0,2.12159845399642,87.59443999999999,14.177785000000002,3.61692,1.2146000000000003,120.78800000000001,21.622249999999998,1.22,2.73,4.0,3.8,1.2499999999999996,0.02214,6.612082547718061,109.01664145234498,-9.016641452344981,,62.10810810810813,4.3222003929273,14.29,15.27,ярус 1,4000K-33%,95.0,97.0,6.156,0.64659793814433
Джипси,3,39.883333333333326,6.0,29.0,6.0,3.794733192202055,18.5,6.0,2.6645825188948455,43.267999999999994,5.0,17.69116502664536,75.68199999999999,5.0,31.98041541318687,14.0,5.0,1.7320508075688772,24.5,6.0,8.408329203831164,17.25,5.0,10.016526343997704,7.358,5.0,3.2362045670816304,102.27214499999998,75.15735000000001,4.3110599999999994,1.3037499999999995,140.37024999999997,105.94899999999997,1.57,3.0,4.6,3.9,8.499999999999998,0.02778,8.95390070921983,106.81159420289853,-6.8115942028985215,,63.900000000000006,4.905660377358487,15.49,15.9,ярус 2,4000K-60%,150.8,221.0,9.77184,0.19578280542986423
Джипси,4,40.93333333333333,6.0,31.5,6.0,4.505552130427524,25.333333333333332,6.0,2.160246899469287,65.934,5.0,18.82075529834018,66.318,5.0,29.798568254196375,20.0,5.0,4.0,19.0,6.0,0.8944271909999159,17.188,5.0,5.835500835403933,6.42,5.0,3.644893688435919,96.489995,116.20228999999999,3.9513,1.22329,129.36475,163.786,1.42,2.32,3.8,3.7,0.9999999999999994,0.027860000000000003,8.32687680952576,103.07672626091413,-3.076726260914124,,68.58053691275158,4.374594944912502,16.4,15.43,ярус 3,4000K-75%,181.3,321.5,11.74824,0.2050824261275272
Джипси,5,42.550000000000004,6.0,26.166666666666668,6.0,3.8686776379877745,15.833333333333334,6.0,3.9707262140150976,45.888,5.0,36.794269526653196,47.580000000000005,5.0,24.147674836306706,17.2,5.0,10.825894882179487,21.833333333333332,6.0,2.9268868558020253,16.602,5.0,7.415279495743905,4.561999999999999,5.0,3.537678617398703,78.78191000000001,66.37887500000001,3.3148499999999994,1.1276700000000002,111.06299999999999,92.51274999999998,1.2,2.72,4.0,4.1,3.749999999999999,0.025639999999999996,8.025445771050734,97.5576908134987,2.4423091865013147,,35.73633440514469,3.4863945578231466,16.86,17.64,ярус 4,4000K-100%,245.5,478.0,15.9084,0.096
Каскад,1,26.666666666666668,6.0,16.5,6.0,2.7386127875258306,20.0,6.0,1.5491933384829668,19.887999999999998,5.0,10.524714722974679,1.3920000000000001,5.0,0.7024741988144475,13.4,5.0,3.2093613071762426,4.166666666666667,6.0,4.915960401250875,0.0,5.0,0.0,3.036,5.0,1.450217225108018,42.86959000000001,112.767115,1.7517599999999998,0.59234,58.602500000000006,164.16875,9.89,8.34,2.4,3.7,4.5,0.03116,4.717414611732275,84.1697896749522,15.830210325047803,,73.05694444444448,4.4105523495465775,29.75,24.259999999999998,контроль,контроль,79.0,116.3,5.1192,0.171006018916595
Каскад,2,35.85,6.0,21.5,6.0,2.588435821108957,15.833333333333334,6.0,2.316606713852541,91.956,5.0,32.16883398570735,12.258,5.0,5.720950095919383,18.6,5.0,3.2093613071762426,26.666666666666668,6.0,6.889605697474034,10.55,5.0,5.393032542086131,23.69,5.0,36.41558251628003,43.392155,73.83690499999999,1.7801099999999999,0.5998200000000001,59.49825,106.33375,4.02,6.82,2.2,3.8,3.5,0.037059999999999996,5.504789861591159,83.58579307700118,16.41420692299881,,42.62451512800622,3.925272879932834,23.83,23.82,ярус 1,4000K-33%,95.0,97.0,6.156,0.9480000000000001
Каскад,3,43.13333333333333,6.0,22.0,6.0,3.9496835316262997,13.833333333333334,6.0,0.7527726527090811,110.098,5.0,34.90462247324843,21.962,5.0,12.892899984099776,18.8,5.0,3.96232255123179,20.333333333333332,6.0,2.7325202042558927,21.095999999999997,5.0,10.108957908706515,8.006,5.0,4.230949066107981,69.63814500000001,34.66918,2.8554299999999997,0.9269199999999997,94.55874999999997,50.158,1.79,4.01,3.5,3.5,1.75,0.04258,7.162912957763302,74.92717032433481,25.07282967566518,,44.91194486983154,3.998596983514574,23.36,28.51,ярус 2,4000K-60%,150.8,221.0,9.77184,0.49818099547511313
Каскад,4,41.88333333333333,6.0,20.5,6.0,2.7386127875258306,15.166666666666666,6.0,3.125166662222459,136.57999999999998,5.0,50.498274227937735,21.622000000000003,5.0,10.823819566123596,19.0,5.0,3.1622776601683795,18.166666666666668,6.0,1.8348478592697182,23.078,5.0,8.168464972074007,9.084,5.0,2.8608442809772083,69.08790499999999,40.900034999999995,2.8163099999999996,0.9455199999999999,94.04575,58.217749999999995,2.44,1.57,1.2,4.1,11.499999999999998,0.043539999999999995,7.239880932014944,76.86188422471784,23.138115775282156,,46.44202334630351,4.5785270629991,27.67,28.174999999999997,ярус 3,4000K-75%,181.3,321.5,11.74824,0.4248211508553654
Каскад,5,38.416666666666664,6.0,20.5,6.0,2.8809720581775866,13.166666666666666,6.0,2.316606713852541,127.498,5.0,72.08308588011477,42.035999999999994,5.0,29.266740166954023,17.4,5.0,9.91463564635635,14.833333333333334,6.0,1.9407902170679516,28.571999999999996,5.0,5.468305953400925,10.715999999999998,5.0,6.137184207761732,68.32396,49.13731500000001,2.9219099999999996,0.93723,96.4785,71.01475,1.86,2.02,4.5,5.2,4.249999999999999,0.04412,9.683262740083608,79.4536157539008,20.546384246099183,,34.63704496788007,2.9547259729944386,32.93,31.475,ярус 4,4000K-100%,245.5,478.0,15.9084,0.26673221757322174
Рафаэль,1,39.06666666666667,6.0,22.333333333333332,6.0,1.8618986725025255,19.0,6.0,1.4142135623730951,29.79,5.0,10.73092959626518,10.610000000000001,5.0,4.241485588800226,12.6,5.0,2.8809720581775866,9.166666666666666,6.0,4.400757510550504,0.7100000000000001,5.0,0.3479942528261063,1.2739999999999998,5.0,0.571515529097854,80.50143000000001,75.98081,3.2366099999999993,1.1648700000000003,110.03699999999999,110.8045,5.81,4.41,4.2,3.5,0.0,0.025899999999999996,4.604413442588494,150.96711422455726,-50.96711422455727,,30.733977801646958,7.607253427686857,10.01,11.305,контроль,контроль,79.0,116.3,5.1192,0.25614789337919175
Рафаэль,2,41.699999999999996,6.0,26.5,6.0,2.588435821108957,17.666666666666668,6.0,1.7511900715418265,76.408,5.0,17.34083244829959,18.658,5.0,7.554172357048785,19.6,5.0,1.8165902124584952,27.666666666666668,6.0,3.8815804341359033,7.7620000000000005,5.0,2.1515041250250952,3.3560000000000003,5.0,2.2563532524850802,119.47671500000001,1.8836250000000005,4.990469999999999,1.5046999999999997,162.37924999999998,51.82124999999999,1.9,3.65,4.4,4.0,2.7499999999999996,0.02878,4.797141946518662,62.58417763756597,37.41582236243403,,23.237931759265763,5.989705194197455,10.43,10.684999999999999,ярус 1,4000K-33%,95.0,97.0,6.156,0.7877113402061856
Рафаэль,3,43.75,6.0,26.0,6.0,1.8973665961010275,13.333333333333334,6.0,1.7511900715418263,86.61,5.0,27.560111574520157,33.2,5.0,12.281311004937542,16.4,5.0,5.319774431308154,26.666666666666668,6.0,2.804757862395017,14.338,5.0,3.5816015970512405,7.395999999999999,5.0,3.44677820580321,68.06461000000002,8.184985,2.8241099999999997,0.98373,95.19599999999998,11.899249999999999,0.698,3.33,4.2,3.8,3.25,0.03462,8.121969605031202,97.83972899428,2.1602710057200074,,16.876788155090892,6.635230717413265,13.53,14.844999999999999,ярус 2,4000K-60%,150.8,221.0,9.77184,0.39190045248868777
Рафаэль,4,46.48333333333333,6.0,24.833333333333332,6.0,2.786873995477131,13.583333333333334,6.0,2.939671183426246,73.598,5.0,49.33717178760858,43.462,5.0,21.93520275721198,15.0,5.0,9.433981132056603,30.666666666666668,6.0,9.092121131323903,15.15,5.0,3.3294744329998998,6.3420000000000005,5.0,3.5779281714422377,109.44926000000002,102.4981,4.5632399999999995,1.4353599999999997,149.96499999999997,140.4965,1.26,3.07,4.0,3.9,0.0,0.031279999999999995,7.919909916650674,91.20394691761261,8.796053082387386,,20.67218909935103,2.6492287055667276,14.25,14.91,ярус 3,4000K-75%,181.3,321.5,11.74824,0.22892068429237947
Рафаэль,5,45.96666666666667,6.0,26.333333333333332,6.0,2.9439202887759492,12.166666666666666,6.0,1.4719601443879746,92.06199999999998,5.0,11.973947552916709,85.25199999999998,5.0,9.96453310496784,14.4,5.0,2.792848008753788,28.5,6.0,9.137833441248533,24.395999999999997,5.0,3.301390616088923,11.238000000000001,5.0,1.9763021024124832,52.93736,35.012635,2.09295,0.6606700000000001,68.84049999999999,50.28424999999999,0.948,2.23,2.8,5.1,0.0,0.03676,7.589335791030537,93.78663540445483,6.213364595545172,,21.199821147559092,4.500978473581185,20.67,17.884999999999998,ярус 4,4000K-100%,245.5,478.0,15.9084,0.1925983263598326
Риф,1,27.583333333333332,6.0,19.166666666666668,6.0,1.329160135825126,21.666666666666668,6.0,1.3662601021279466,31.23,5.0,5.338670246419047,5.786,5.0,2.4263614734824652,10.0,5.0,1.0,17.5,6.0,9.792854537876073,2.006259259259259,4.888888888888889,1.0040920544446197,2.1077222222222223,5.0,1.084616382885193,29.327230000000004,83.416465,0.89235,0.5608099999999999,36.32899999999999,121.68775,7.59,4.59,1.6,2.1,3.749999999999999,0.025840000000000002,4.0657247885202725,83.39208410636982,16.607915893630185,,41.12883435582822,4.013705335291235,20.67,20.43,контроль,контроль,79.0,116.3,5.1192,0.26852966466036116
Риф,2,36.78333333333334,6.0,28.833333333333332,6.0,2.316606713852541,14.333333333333334,6.0,2.3380903889000244,105.29999999999998,5.0,17.30943673260341,33.648,5.0,6.348261179252161,18.6,5.0,2.9664793948382653,25.666666666666668,6.0,3.386246693120078,4.4720555555555555,4.833333333333333,1.8931868807377872,3.390666666666667,4.857142857142857,1.1200204416827746,20.824065,24.391150000000003,1.24851,0.0980399999999999,33.66375,36.33699999999999,5.11,7.67,3.0,2.9,0.0,0.03185999999999999,4.1672231868571865,76.40079719321557,23.599202806784433,,59.96725440806045,22.115599196607903,18.58,22.405,ярус 1,4000K-33%,95.0,97.0,6.156,1.0855670103092783
