cultivar,variant,mass_before_g,mass_after_g,loss_pct
Триплекс,1,10.614999999999998,8.35,21.62034856335373
Триплекс,2,12.365,9.79,14.840274969672464
Триплекс,3,11.19,9.72,15.90705987488829
Триплекс,4,11.3,10.12,12.61061946902656
Триплекс,5,12.265,11.02,14.920505503465165
Рафаэль,1,11.305,10.01,7.607253427686857
Рафаэль,2,10.684999999999999,10.43,5.989705194197455
Рафаэль,3,14.844999999999999,13.53,6.635230717413265
Рафаэль,4,14.91,14.25,2.6492287055667276
Рафаэль,5,17.884999999999998,20.67,4.500978473581185
Джипси,1,17.725,16.39,4.033850493653048
Джипси,2,15.27,14.29,4.3222003929273
Джипси,3,15.9,15.49,4.905660377358487
Джипси,4,15.43,16.4,4.374594944912502
Джипси,5,17.64,16.86,3.4863945578231466
Цезарь,1,19.895,19.03,4.4986177431515415
Цезарь,2,23.615000000000002,21.19,15.371585856447183
Цезарь,3,22.75,22.53,3.318681318681314
Цезарь,4,21.17,21.3,2.8341993386868296
Цезарь,5,21.59,19.49,3.705419175544236
Каскад,1,24.259999999999998,29.75,4.4105523495465775
Каскад,2,23.82,23.83,3.925272879932834
Каскад,3,28.51,23.36,3.998596983514574
Каскад,4,28.174999999999997,27.67,4.5785270629991
Каскад,5,31.475,32.93,2.9547259729944386
Риф,1,20.43,20.67,4.013705335291235
Риф,2,22.405,18.58,22.115599196607903
Риф,3,22.225,21.03,30.078740157480325
Риф,4,21.68,20.15,5.834870848708491
Риф,5,23.630000000000003,21.41,12.738044858231092
