file	pages	title	author	first_text_sample
01_arxiv_1907.00624_DL_plant_growth.pdf	8		Yves Desjardins	--- page 1 --- Using Deep Learning to Predict Plant Growth and Yield in Greenhouse Environments Bashar Alhnaity1, Simon Pearson2, Georgios Leontidis1 and Stefanos Kollias1 1School of Computer Science, University of Lincoln, Lincoln, LN6 7TS, UK 2Lincoln Institute for Agri-Food Technology, University of Lincoln, Lincoln, LN6 7TS, UK. Abstract Effective plant growth and yield prediction is an essential task for greenhouse growers and for agriculture in general. Developing models which can effectively model growth and yield can help growers improve the environmental control for better production, match supply and market demand and lower costs. Recent developments in Machine Learning (ML) and, i
02_arxiv_2506.13278_RL_MPC_greenhouse.pdf	6	RL-Guided MPC for Autonomous Greenhouse Control	Salim Msaad; Murray Harraway; Robert D. McAllister	--- page 1 --- arXiv:2506.13278v1 [eess.SY] 16 Jun 2025 RL-Guided MPC for Autonomous Greenhouse Control Salim Msaad ∗ Murray Harraway ∗ Robert D. McAllister ∗ ∗ Delft Center for Systems and Control (DCSC), Delft University of Technology, Delft, The Netherlands Abstract: The efficient operation of greenhouses is essential for enhancing crop yield while minimizing energy costs. This paper investigates a control strategy that integrates Reinforce- ment Learning (RL) and Model Predictive Control (MPC) to optimize economic benefits in autonomous greenhouses. Previous research has explored the use of RL and MPC for greenhouse control individually, or by using MPC as the function approximator for t
03_arxiv_2409.12789_RL_based_MPC.pdf	15			--- page 1 --- arXiv:2409.12789v3 [eess.SY] 2 Jan 2025 REINFORCEMENT LEARNING -BASED MODEL PREDICTIVE CONTROL FOR GREENHOUSE CLIMATE CONTROL Samuel Mallick*,1, **, Filippo Airaldi1, **, Azita Dabiri1, Congcong Sun2, and Bart De Schutter 1 1Delft Center for Systems and Control, Delft University of Te chnology, 2628 CD Delft, The Netherlands 2Agricultural Biosystems Engineering Group, Wageningen Un iversity, 6700 AA Wageningen, The Netherlands *Corresponding author, e-Mail: s.h.mallick@tudelft.nl **These authors contributed equally to this work. ABSTRACT Greenhouse climate control is concerned with maximizing pe rformance in terms of crop yield and resource efﬁciency. One promising approach is
04_arxiv_2507.21669_BiLSTM_GRU_predictive_control.pdf	38	Data-Driven Greenhouse Climate Regulation in Lettuce Cultivation Using BiLSTM and GRU Predictive Control	Soumo Emmanuel Arnaud; Marcello Calisti; Athanasios Polydoros	--- page 1 --- Data-Driven Greenhouse Climate Regulation in Lettuce Cultivation Using BiLSTM and GRU Predictive Control Soumo Emmanuel Arnaud,∗a, Marcello Calistib, Athanasios Polydorosa aUniversity of Lincoln, School of Engineering, Physical Science and Lincoln Centre for Autonomous Systems, , Lincoln, LN6 7TS, , United Kingdom bSant’Anna School of Advanced Studies, The BioRobotics Institute, Viale Rinaldo Piaggio 34, Pontedera, , Pisa, Italy Abstract Efficient greenhouse management is essential for sustainable food pro- duction, but the high energy demand for climate regulation poses signifi- canteconomicandenvironmentalchallenges. Whiletraditionalprocess-based greenhouse models exist, the
05_sensors_2024_iot_rl_greenhouse_climate_control.pdf	24	Enhancing Greenhouse Efficiency: Integrating IoT and Reinforcement Learning for Optimized Climate Control	Firstname Lastname, Firstname Lastname and Firstname Lastname	--- page 1 --- Citation: Platero-Horcajadas, M.; Pardo-Pina, S.; Cámara-Zapata, J.-M.; Brenes-Carranza, J.-A.; Ferrández- Pastor, F.-J. Enhancing Greenhouse Efficiency: Integrating IoT and Reinforcement Learning for Optimized Climate Control. Sensors 2024, 24, 8109. https://doi.org/ 10.3390/s24248109 Academic Editors: Alessandra Rizzardi, Dinko Oletic and Nahina Islam Received: 23 July 2024 Revised: 22 November 2024 Accepted: 29 November 2024 Published: 19 December 2024 Copyright: © 2024 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https:// creativecomm
06_scirep_2025_energy_optimization_plant_comfort_abc.pdf	29			--- page 1 --- Energy optimization and plant comfort management in smart greenhouses using the artificial bee colony algorithm Muhammad Jawad1, Fazli Wahid1,2,3, Sikandar Ali1, Yingliang Ma3, Ahmed Alkhyyat4,5,6, Jawad Khan7 & Youngmoon Lee8 Agriculture is an essential component of human sustenance in this world. These days, with a growing population, we must significantly increase agricultural productivity to meet demand. Agriculture moved toward technologies as a result of the demand for higher yields with less resources. Increasing awareness of the significance and influence of agricultural practices in global climate change has made the use of energy-efficient innovations a vital aspec
07_pmc_sensors_2021_greenhouse_crop_yield_tcn_rnn.pdf	17	Deep Learning Based Prediction on Greenhouse Crop Yield Combined TCN and RNN	Firstname Lastname, Firstname Lastname and Firstname Lastname	--- page 1 --- 8.23.5 Deep Learning Based Prediction on Greenhouse Crop Yield Combined TCN and RNN Liyun Gong, Miao Yu, Shouyong Jiang, Vassilis Cutsuridis a nd Simon Pearson Topic Collection Convolutional Neural Networks Applications in Sensing and Imaging: Architectures, Insight, Visualization, Transparency Edited by Prof. Dr. Stefanos Kollias Communication https://doi.org/10.3390/s21134537 --- page 2 --- sensors Communication Deep Learning Based Prediction on Greenhouse Crop Yield Combined TCN and RNN Liyun Gong 1,*, Miao Yu 1, Shouyong Jiang 1, V assilis Cutsuridis1 and Simon Pearson 2 /gid00030/gid00035/gid00032/gid00030/gid00038/gid00001/gid00033/gid00042/gid00045/gid00001 /gid00048/gi
08_agronomy_2024_transformer_rnn_greenhouse_prediction.pdf	16	Microsoft Word - agronomy-2760368 - FC done.docx	Admin	--- page 1 --- Agronomy 2024, 14, 417. https://doi.org/10.3390/agronomy14030417 www.mdpi.com/journal/agronomy Article Evaluating Time-Series Prediction of Temperature, Relative Humidity, and CO2 in the Greenhouse with Transformer-Based and RNN-Based Models Ju Yeon Ahn 1,2, Yoel Kim 1, Hyeonji Park 1, Soo Hyun Park 3 and Hyun Kwon Suh 1,2,* 1 Department of Integrative Biological Sciences and Industry, Sejong University, Seoul 05006, Republic of Korea; jyahn1998@gmail.com (J.Y.A.); longtailedtit12@gmail.com (Y.K.); hyunji7674@gmail.com (H.P.) 2 Digilog Inc., Seoul 05006, Republic of Korea 3 Smart Farm Research Center, Korea Institute of Science and Technology (KIST), Gangneung 25451, Republic 
09_hal_RL_Enhanced_MPC_Sustainable_Greenhouse.pdf	13	Reinforcement Learning-Enhanced MPC for Sustainable Greenhouse Climate Management	Masoud Pourghavam	--- page 1 --- HAL Id: hal-05401361 https://hal.science/hal-05401361v1 Submitted on 5 Dec 2025 HAL is a multi-disciplinary open access archive for the deposit and dissemination of scientific re- search documents, whether they are published or not. The documents may come from teaching and research institutions in France or abroad, or from public or pri- vate research centers. L’archive ouverte pluridisciplinaire HAL, est des- tinée au dépôt et à la diffusion de documents scien- tifiques de niveau recherche, publiés ou non, émanant des établissements d’enseignement et de recherche français ou étrangers, des laboratoires publics ou privés. HAL Authorization Reinforcement Learning-Enhanced MPC f
1-s2.0-S2772375524003551-main.pdf	12	Reinforcement learning-based model predictive control for greenhouse climate control	Samuel Mallick	--- page 1 --- Smart Agricultural Technology 10 (2025) 100751 Available online 31 December 2024 2772-3755/© 2025 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY license ( http://creativecommons.org/licenses/by/4.0/). Contents lists available at ScienceDirect Smart Agricultural Technology journal homepage: www.journals.elsevier.com/smart-agricultural-technology Reinforcement learning-based model predictive control for greenhouse climate control Samuel Mallicka, ,∗,1, Filippo Airaldia, ,1, Azita Dabiria, , Congcong Sunb, , BartDe Schuttera, a Delft Center for Systems and Control, Delft University of Technology, 2628 CD, Delft, the Netherlands b Agricultur
10_semanticscholar_iot_greenhouse_systems.pdf	11		JEE	--- page 1 --- MJSAT 4 (2) 169-179 ABSTRACT KEYWORDS ARTICLE HISTORY ` IoT-enabled Greenhouse Systems: Optimizing Plant Growth and Efficiency Swathi Manoharan1, Chong Peng Lean *1, Chen Li 1,2, Kong Feng Yuan 3, Ng Poh Kiat 3 and M. Reyasudin Basir Khan4 1 School of Engineering and Computing, MILA University, No 1, MIU Boulevard, Putra Nilai, Nilai 71800, Malaysia. 2 Hainan Yuanli Artificial intelligence Technology Co.,Ltd., Room 207, Building B, No.3 Haitao Avenue, Jiangdong New District, Haikou City, Hainan Province, China. 3 Faculty of Engineering and Technology, Multimedia University, Jalan Ayer Keroh Lama, Melaka 75450, Malaysia. 4 Tun Razak Graduate School (TRGS), Universiti Tun Abdul 
11_semanticscholar_hybrid_RL_IoT_MPC.pdf	46	Enhancing autonomous agriculture control systems in greenhouses for sustainable resource usage using deep learning techniques	Iman Hindi	--- page 1 --- PLOS One | https://doi.org/10.1371/journal.pone.0344946 March 26, 2026 1 / 46 OPEN ACCESS Citation: Hindi I, Alsharkawi A, Al-Ajlouni M, Qarallah B (2026) Enhancing autonomous agriculture control systems in greenhouses for sustainable resource usage using deep learning techniques. PLoS One 21(3): e0344946. https://doi.org/10.1371/journal.pone.0344946 Editor: Dinesh Kumar Nishad, Dr Shakuntala Misra National Rehabilitation University, INDIA Received: July 9, 2025 Accepted: February 24, 2026 Published: March 26, 2026 Copyright: © 2026 Hindi et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted us
