id,ts,relay_id,state
2,"2026-03-28 16:22:35",12,ON
3,"2026-03-28 16:22:35",12,OFF
1,"2026-03-28 16:22:35",14,ON
4,"2026-03-28 16:24:16",14,OFF
6,"2026-03-28 16:54:22",12,ON
5,"2026-03-28 16:54:22",14,ON
7,"2026-03-28 16:54:32",10,ON
8,"2026-03-28 16:56:11",10,OFF
10,"2026-03-28 16:56:21",12,OFF
9,"2026-03-28 16:56:21",14,OFF
11,"2026-03-28 17:01:56",8,ON
12,"2026-03-28 17:02:01",8,OFF
14,"2026-03-28 17:10:35",9,ON
13,"2026-03-28 17:10:35",11,ON
15,"2026-03-28 17:10:45",8,ON
16,"2026-03-28 17:25:13",8,OFF
18,"2026-03-28 17:25:22",9,OFF
17,"2026-03-28 17:25:22",11,OFF
20,"2026-03-31 11:42:09",9,ON
19,"2026-03-31 11:42:09",11,ON
21,"2026-03-31 11:42:19",8,ON
22,"2026-03-31 11:45:37",4,ON
23,"2026-03-31 11:45:39",4,OFF
24,"2026-03-31 11:45:49",3,ON
25,"2026-03-31 11:45:51",3,OFF
26,"2026-03-31 11:45:53",2,ON
27,"2026-03-31 11:45:58",2,OFF
28,"2026-03-31 11:46:03",1,ON
29,"2026-03-31 12:14:19",8,OFF
30,"2026-03-31 12:14:29",1,OFF
32,"2026-03-31 12:14:29",9,OFF
31,"2026-03-31 12:14:29",11,OFF
33,"2026-03-31 12:26:30",2,ON
34,"2026-03-31 12:29:38",2,OFF
36,"2026-03-31 13:21:49",9,ON
35,"2026-03-31 13:21:49",11,ON
37,"2026-03-31 13:21:59",8,ON
38,"2026-03-31 13:40:44",9,OFF
39,"2026-03-31 13:40:58",2,ON
40,"2026-03-31 13:44:21",9,ON
41,"2026-03-31 13:46:00",9,OFF
42,"2026-03-31 14:18:34",9,ON
43,"2026-03-31 14:19:24",14,ON
44,"2026-03-31 14:19:34",14,OFF
45,"2026-03-31 14:32:15",8,OFF
47,"2026-03-31 14:32:25",9,OFF
46,"2026-03-31 14:32:25",11,OFF
49,"2026-03-31 15:21:15",9,ON
48,"2026-03-31 15:21:15",11,ON
51,"2026-03-31 15:21:28",9,OFF
50,"2026-03-31 15:21:28",11,OFF
52,"2026-03-31 15:58:30",2,OFF
53,"2026-03-31 16:01:33",2,ON
55,"2026-03-31 16:01:54",9,ON
54,"2026-03-31 16:01:54",11,ON
56,"2026-03-31 16:02:04",8,ON
57,"2026-03-31 16:42:19",14,ON
58,"2026-03-31 16:42:29",10,ON
59,"2026-03-31 16:42:29",15,ON
60,"2026-03-31 16:42:44",10,OFF
61,"2026-03-31 16:42:55",2,OFF
62,"2026-03-31 16:42:55",8,OFF
63,"2026-03-31 16:42:56",9,OFF
64,"2026-03-31 16:42:56",11,OFF
65,"2026-03-31 16:42:56",14,OFF
66,"2026-03-31 16:42:56",15,OFF
67,"2026-03-31 16:43:02",8,ON
68,"2026-03-31 17:30:57",8,OFF
69,"2026-03-31 17:31:04",8,ON
70,"2026-03-31 17:31:05",8,OFF
71,"2026-03-31 17:31:07",8,ON
73,"2026-03-31 17:31:09",9,ON
72,"2026-03-31 17:31:09",11,ON
74,"2026-03-31 17:31:15",8,OFF
75,"2026-03-31 17:31:15",9,OFF
76,"2026-03-31 17:31:15",11,OFF
77,"2026-03-31 17:31:19",8,ON
78,"2026-03-31 17:31:23",8,OFF
80,"2026-03-31 17:31:55",9,ON
79,"2026-03-31 17:31:55",11,ON
81,"2026-03-31 17:32:05",8,ON
82,"2026-03-31 17:52:44",2,ON
83,"2026-03-31 18:31:54",2,OFF
84,"2026-04-01 09:43:42",2,ON
85,"2026-04-01 09:46:13",1,ON
87,"2026-04-01 16:22:19",1,OFF
86,"2026-04-01 16:22:19",2,OFF
88,"2026-04-01 16:32:57",8,OFF
90,"2026-04-01 16:33:07",9,OFF
89,"2026-04-01 16:33:07",11,OFF
92,"2026-04-01 16:35:34",9,ON
91,"2026-04-01 16:35:34",11,ON
93,"2026-04-01 16:35:44",8,ON
94,"2026-04-01 16:54:43",9,OFF
95,"2026-04-02 09:25:44",2,ON
96,"2026-04-02 12:55:14",2,OFF
97,"2026-04-02 12:57:47",8,OFF
98,"2026-04-02 12:57:57",11,OFF
99,"2026-04-02 12:59:06",11,ON
100,"2026-04-02 12:59:07",9,ON
101,"2026-04-02 12:59:16",8,ON
102,"2026-04-02 16:16:55",2,ON
103,"2026-04-03 10:44:27",2,OFF
104,"2026-04-08 16:31:19",3,ON
105,"2026-04-08 16:33:42",2,ON
106,"2026-04-08 16:34:16",3,OFF
