relay_id,total_events,on_events,off_events,first_ts,last_ts
1,4,2,2,"2026-03-31 11:46:03","2026-04-01 16:22:19"
2,18,9,9,"2026-03-31 11:45:53","2026-04-09 09:38:41"
3,6,3,3,"2026-03-31 11:45:49","2026-04-11 12:36:17"
4,2,1,1,"2026-03-31 11:45:37","2026-03-31 11:45:39"
5,2,1,1,"2026-04-21 10:26:30","2026-04-21 10:26:31"
6,2,1,1,"2026-04-21 10:26:27","2026-04-21 10:26:29"
8,43,22,21,"2026-03-28 17:01:56","2026-05-25 11:30:07"
9,37,19,18,"2026-03-28 17:10:35","2026-05-25 11:29:57"
10,4,2,2,"2026-03-28 16:54:32","2026-03-31 16:42:44"
11,33,17,16,"2026-03-28 17:10:35","2026-05-25 11:29:57"
12,4,2,2,"2026-03-28 16:22:35","2026-03-28 16:56:21"
14,8,4,4,"2026-03-28 16:22:35","2026-03-31 16:42:56"
15,2,1,1,"2026-03-31 16:42:29","2026-03-31 16:42:56"
